Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,12860.929688,12902.719727,12842.269531,12902.719727,12902.719727,3357250000
2018-01-03,12910.629883,12963.389648,12906.990234,12957.280273,12957.280273,3538660000
2018-01-04,12999.530273,13045.160156,12999.530273,13028.459961,13028.459961,3695260000
2018-01-05,13066.370117,13104.519531,13039.080078,13103.230469,13103.230469,3236620000
2018-01-08,13096.650391,13117.240234,13065.240234,13114.349609,13114.349609,3242650000
2018-01-09,13123.830078,13156.879883,13110.900391,13120.839844,13120.839844,3453480000
2018-01-10,13108.230469,13131.110352,13070.839844,13106.599609,13106.599609,3576350000
2018-01-11,13106.599609,13210.769531,13106.599609,13210.769531,13210.769531,3641320000
2018-01-12,13240.959961,13299.190430,13237.549805,13294.320313,13294.320313,3573970000
2018-01-16,13343.820313,13371.969727,13215.259766,13246.860352,13246.860352,4325970000
2018-01-17,13282.480469,13376.799805,13255.379883,13352.389648,13352.389648,3778050000
2018-01-18,13341.759766,13353.139648,13299.929688,13315.910156,13315.910156,3681470000
2018-01-19,13342.959961,13384.459961,13331.700195,13384.459961,13384.459961,3639430000
2018-01-22,13388.320313,13470.400391,13381.330078,13470.370117,13470.370117,3471780000
2018-01-23,13461.870117,13482.419922,13434.940430,13474.110352,13474.110352,3519650000
2018-01-24,13520.070313,13556.379883,13452.750000,13507.660156,13507.660156,4014070000
2018-01-25,13548.870117,13555.509766,13479.570313,13512.660156,13512.660156,3835150000
2018-01-26,13547.280273,13637.019531,13539.200195,13637.019531,13637.019531,3443230000
2018-01-29,13592.799805,13605.910156,13520.679688,13524.650391,13524.650391,3573830000
2018-01-30,13441.240234,13458.540039,13369.419922,13375.509766,13375.509766,3990650000
2018-01-31,13416.830078,13443.250000,13320.370117,13367.959961,13367.959961,4261280000
2018-02-01,13338.990234,13414.780273,13324.320313,13381.969727,13381.969727,3938450000
2018-02-02,13294.349609,13294.349609,13075.879883,13085.349609,13085.349609,4301130000
2018-02-05,12974.190430,13050.160156,12518.209961,12572.929688,12572.929688,5283460000
2018-02-06,12386.839844,12779.150391,12337.759766,12745.450195,12745.450195,5891660000
2018-02-07,12696.950195,12866.580078,12685.429688,12687.179688,12687.179688,4626570000
2018-02-08,12701.879883,12701.879883,12270.650391,12270.650391,12270.650391,5305440000
