类别：所有类别

日,superbowl: (全球)
2020-01-04,2
2020-01-05,4
2020-01-06,2
2020-01-07,1
2020-01-08,1
2020-01-09,1
2020-01-10,1
2020-01-11,2
2020-01-12,5
2020-01-13,4
2020-01-14,2
2020-01-15,2
2020-01-16,2
2020-01-17,2
2020-01-18,3
2020-01-19,10
2020-01-20,17
2020-01-21,6
2020-01-22,6
2020-01-23,7
2020-01-24,7
2020-01-25,9
2020-01-26,13
2020-01-27,10
2020-01-28,11
2020-01-29,12
2020-01-30,14
2020-01-31,18
2020-02-01,20
2020-02-02,100
